trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,18,-36.36076939380334,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-157.75711075900412,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-166.7784561456921,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-121.495791296592,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-120.56733380316751,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-193.25182344930175,"{0: 10, 1: 6, 2: 4, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-62.163257562571914,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,17,-19.572905958617017,"{0: 5, 1: 2, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-90.75739405391374,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,10,-9.113733399229652,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,22,7.82090214579967,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-58.25420669636884,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,1,-81.37047695314507,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-26.02423163079889,"{0: 30, 1: 1, 2: 2, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-77.95819811372404,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,19,3.7386216755669306,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,19.81034457238863,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,11,19.11954085969154,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,20,11.981415385672753,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,30.42108022409889,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-25.43274945361911,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,14,8.738733674123434,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,17,15.324635060176211,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,9,27.03340198782007,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,1,-7.572034274124664,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,29.602338104087455,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,4,33.3526958899024,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,7,34.125987439412356,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,15,11.647035043589069,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,13,13.192176161464296,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
