trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-209.41960459073883,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-88.38788958883038,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-119.23476726949826,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-136.49481368723292,"{0: 11, 1: 2, 2: 10, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,11,-45.93766154350747,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-37.157317357988184,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-139.66816877850485,"{0: 17, 1: 4, 2: 0, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-106.05614729235485,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,10,-83.9698219079146,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-174.7002498091117,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-129.67532180272002,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-121.42915009448939,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-61.69689049312397,"{0: 28, 1: 3, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-73.62223796880626,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,10,8.56519939215394,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,6,-18.88772229589389,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,1,-100.74018143895674,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,13,-17.014922966297103,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-30.53250320050723,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0, 'e': 0}",30,0,-49.63404959900494,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,3,25.73639017506149,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,0,-40.72484216925006,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-45.63732949514858,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,0,-29.095485095264795,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-36.25959195674765,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,16.78519831399092,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-29.624159833045862,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-38.35742095833087,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,3,-58.82496120602192,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,0,13.518165983166059,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
