trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.668740304976422}",25,0,-122.96326670247028,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.5253055608807534}",20,0,-67.7523079659502,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.41263541353615896}",25,0,-80.24315775105939,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.32413131933855244}",25,0,-88.86767753598726,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.2546100231092847}",30,0,-163.55058471360843,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 3}",0
6,False,"{'a': 0.2, 'e': 0.2}",25,0,-177.98177073347645,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
7,False,"{'a': 0.2, 'e': 0.1571030060463529}",25,0,-134.1398139365592,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.2, 'e': 0.12340677254400197}",20,0,-147.94500983560252,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
9,False,"{'a': 0.2, 'e': 0.09693787466570619}",25,0,-27.91355061508241,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.07614615754863518}",20,0,14.923112743323927,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.2, 'e': 0.05981395124884887}",20,6,6.8187851051876285,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.2, 'e': 0.04698475772352081}",30,0,-138.32818149337874,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.2, 'e': 0.036907233383623575}",25,0,-53.34157225893102,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.028991186547107858}",20,15,2.7792684315887604,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.2, 'e': 0.022773012777006153}",25,0,21.291071794714863,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.2, 'e': 0.017888543819998347}",25,0,-63.68590604404833,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.2, 'e': 0.014051720039568243}",25,3,-26.29699845926157,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.2, 'e': 0.01103783729168974}",30,0,-104.98107435392322,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.2, 'e': 0.008670387093874963}",35,0,-37.46262667840854,"{0: 31, 1: 0, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.2, 'e': 0.0068107193801662915}",35,0,-10.571596218743942,"{0: 33, 1: 1, 2: 0, 3: 0, 4: 1}",0
21,False,"{'a': 0.2, 'e': 0.005349922439811389}",25,0,-3.695016867652639,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.2, 'e': 0.004202444487046038}",25,0,-62.218588117605435,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
23,False,"{'a': 0.2, 'e': 0.00330108330828928}",20,0,-60.52522413548318,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
24,False,"{'a': 0.2, 'e': 0.002593050554708427}",25,0,-134.49674661003516,"{0: 20, 1: 0, 2: 0, 3: 2, 4: 3}",0
25,False,"{'a': 0.2, 'e': 0.002036880184874284}",30,0,-59.399883869468525,"{0: 26, 1: 2, 2: 0, 3: 0, 4: 2}",0
26,False,"{'a': 0.2, 'e': 0.0016000000000000048}",20,5,0.29488529120727824,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
27,False,"{'a': 0.2, 'e': 0.0012568240483708261}",20,0,19.582236753945594,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.2, 'e': 0.0009872541803520173}",20,9,-44.48094241726981,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
29,False,"{'a': 0.2, 'e': 0.0007755029973256502}",35,0,-8.31458545180654,"{0: 32, 1: 1, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0.2, 'e': 0.0006091692603890816}",25,17,10.87008169945688,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.2, 'e': 0.0004785116099907907}",25,0,11.096246396160755,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0.2, 'e': 0.00037587806178816596}",25,0,7.187179996301754,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0.2, 'e': 0.000295257867068988}",20,0,23.070382250324787,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.2, 'e': 0.00023192949237686223}",20,0,23.85453143713008,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
