trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,6,-96.00457045479169,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.168956536389004,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.4136142037936,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.28371773368804,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.8523244841058,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,1,-132.0211774730101,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-222.8808417296651,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.932387804352956,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.91515585871704,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.79027234478036,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.11583053485985,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.66132577639803,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.617885474429155,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.3168996880286,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-89.56878402053647,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.42073866009467,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-17.75878301042274,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.58342987261409,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.02393355952154,"{0: 10, 1: 1, 2: 4, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.5805280412229,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.86650492835479,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-169.85342889023477,"{0: 20, 1: 6, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-210.58760371786767,"{0: 14, 1: 3, 2: 9, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.63362686637544,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-102.02426021294663,"{0: 12, 1: 6, 2: 6, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-169.02978695193144,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.32109989468353,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.8694610158868,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.61797661404997,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-146.01390984769344,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
